	Response ID	Date submitted	Last page	Start language	Seed	Date started	Date last action	IP address	What is the domain of the website?	Is the website accessible from the current region?	Does the website show a consent notice?	In what language has the website been written?	In what language has the website been written? [Other]	Does the consent notice present... [...an 'accept all' option?]	Does the consent notice present... [...a 'reject all' option?]	Does the consent notice present... [conditional terms (may, might, or could)?]	Does the consent notice present... [a visibly highlighted link to the privacy/cookie policy?]	Are the 'accept all' and 'reject all' options... [...displayed using the same type of form element?]	Are the 'accept all' and 'reject all' options... [...shown at the same level of the consent notice?]	Is a form element highlighted? If so, is it the one for the most restrictive option?	Is a form element highlighted? If so, is it the one for the most restrictive option? [Comment]	Please copy the text of the consent notice.	What is the font size (in pixels) of the text in the consent notice? 	Where is the following information provided? [the purposes for which cookies are being stored]	Where is the following information provided? [the expiration date of cookies]	Where is the following information provided? [the fact that information is shared with third parties/partners]	Where is the following information provided? [links to privacy policies of third parties]	Where is the following information provided? [the identity of the controller]	Where is the following information provided? [the legal basis for processing]	Does the cookie policy contain the cookies which are being stored by the website?	Does the cookie policy contain the cookies which are being stored by the website? [Comment]	Does the consent notice inform the user of their right to withdraw consent?	Does the consent notice inform the user of their right to withdraw consent? [Comment]	Can consent be given separately for each purpose?	Can consent be given separately for each purpose? [Comment]	Is consent combined with the terms of service?	Are any boxes in the consent notice pre-selected?	Is legitimate interest used as a legal basis for storing non-necessary cookies?	Are the numbers of clicks needed to accept &amp; reject consent equal?	Does the consent notice produce a visual effect when interacted with?	Does the consent notice produce a visual effect when interacted with? [Comment]	Is the site accessible without providing consent?	Is the site accessible without providing consent? [Comment]	Can consent be withdrawn through the same electronic interface?	Can consent be withdrawn through the same electronic interface? [Comment]	Do you want to mention anything else?	Total time	Group time: Website information	Question time: G1Q00001	Question time: G1Q00002	Question time: G1Q00003	Question time: G1Q00004	Group time: Consent notice - first level	Question time: G02Q29	Question time: G02Q28	Question time: G2Q00002	Question time: G2Q00005	Question time: G2Q00006	Group time: Consent notice &amp; legal documents – in-depth analysis	Question time: G03Q29	Question time: G3Q00006	Question time: G3Q00007	Question time: G3Q00009	Question time: G3Q00010	Question time: G3Q00012	Question time: G3Q00013	Group time: Acceptance/rejection of consent	Question time: G3Q00011	Question time: G3Q00014	Question time: G3Q00016	Group time: Withdrawal of consent	Question time: G3Q00015	Group time: Extra information	Question time: G3Q00017	Please copy the translated (English-language) text of the consent notice.
177	188	2024-04-07 21:29:37	1.0	en	60187170.0	2024-04-07 21:19:29	2024-04-07 21:29:37	2a02:a459:1240:1:118b:282a:8c54:58af	onet.pl	Yes	Yes	Polish		Yes	Yes	No	Yes	Yes	No	form element other than most restrictive highlighted		"Zanim klikniesz którykolwiek przycisk prosimy o przeczytanie do końca tej informacji – dotyczy ona Twoich danych osobowych.

Klikając „Przejdź do serwisu” udzielasz zgody na przetwarzanie Twoich danych osobowych dotyczących Twojej aktywności w Internecie (np. identyfikatory urządzenia, adres IP) przez nas - czyli Ringier Axel Springer Polska sp. z o.o. (RASP), Zaufanych Partnerów IAB (aktulanie mamy ich 811) i innych Zaufanych Partnerów (aktulanie mamy ich 329) w celach marketingowych (w tym automatycznej personalizacji reklam i dokonywania pomiarów), w celu dostosowania dostarczanych treści, zapewnienia prawidłowego działania funkcjonalności z serwisów społecznościowych oraz w pozostałych celach podanych poniżej, a także zgody na udostępnianie przez nas ww. Zaufanym Partnerom przypisanych Ci identyfikatorów. Szczegółowy opis celów i zakresu przetwarzanych danych wraz z przykładami znajdziesz tutaj - obejmują one (klasyfikacja wg IAB Europe) m.in.: Wykorzystywanie ograniczonych danych do wyboru reklam, Tworzenie profili w celu spersonalizowanych reklam, Wykorzystanie profili do wyboru spersonalizowanych reklam, Tworzenie profili w celu personalizacji treści, Wykorzystywanie profili w celu doboru spersonalizowanych treści, Pomiar efektywności reklam, Pomiar efektywności treści, Rozumienie odbiorców dzięki statystyce lub kombinacji danych z różnych źródeł, Rozwój i ulepszanie usług, Wykorzystywanie ograniczonych danych do wyboru treści, Zapewnienie bezpieczeństwa, zapobieganie oszustwom i naprawianie błędów, Dostarczanie i prezentowanie reklam i treści, Dopasowanie i łączenie danych z innych źródeł, Łączenie różnych urządzeń, Identyfikacja urządzeń na podstawie informacji przesyłanych automatycznie, Użycie dokładnych danych geolokalizacyjnych, Aktywne skanowanie charakterystyki urządzenia do celów identyfikacji.
Zgoda jest dobrowolna. Możesz jej odmówić lub ograniczyć jej zakres klikając w „Ustawienia zaawansowane”.


RASP albo inny podmiot z Grupy RAS Polska jako dostawca usług internetowych, z których korzystasz oraz niektórzy z Zaufanych Partnerów IAB i innych Zaufanych Partnerów przetwarzają Twoje dane podane powyżej oraz dane z Twoich kont w tych usługach w niektórych z ww. celów w oparciu o prawnie uzasadniony interes tych podmiotów (oznaczamy go skrótem „UIA”). Przetwarzanie to nie wymaga zgody z Twojej strony, ale możesz mu się w każdej chwili sprzeciwić.


Twoje prawa:
Udzieloną zgodę możesz wycofać.
Możesz żądać dostępu do Twoich danych osobowych, ich sprostowania, usunięcia, ograniczenia przetwarzania, przeniesienia danych, wyrazić sprzeciw wobec ich przetwarzania i wnieść skargę do Prezesa U.O.D.O.


Informacje o celach przetwarzania danych znajdziesz w „Ustawieniach zaawansowanych”, a szczegółową informację o przetwarzaniu Twoich danych znajdzie w naszej polityce prywatności. Aktualizowaną listę serwisów partnerów e-commerce, z których możemy przetwarzać dane na podstawie Twojej zgody, znajdziesz tutaj.


Korzystanie z serwisu bez zmiany ustawień przeglądarki oznacza też zgodę na umieszczanie znaczników internetowych (cookies itp.) na Twoich urządzeniach i odczytywanie ich (przechowywanie informacji na urządzeniu lub dostęp do nich) przez podmioty z Grupy RAS Polska oraz przez Zaufanych Partnerów IAB i innych Zaufanych Partnerów. Zgody tej możesz odmówić lub ją ograniczyć poprzez zmianę ustawień przeglądarki (szczegółowe informacje znajdziesz tutaj)."	12.0	consent notice	consent notice	consent notice	consent notice	consent notice	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent should be withdrawn through the browser settings	I cannot find an option to withdraw consent on the website.		607.25																												You can also identify your partner’s data as well as your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your data processing purposes, your
178	189	2024-04-07 21:38:48	1.0	en	1018298601.0	2024-04-07 21:33:40	2024-04-07 21:38:48	2a02:a459:1240:1:118b:282a:8c54:58af	princessauto.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			307.83																												
179	190	2024-04-07 21:46:13	1.0	en	455121618.0	2024-04-07 21:40:28	2024-04-07 21:46:13	2a02:a459:1240:1:118b:282a:8c54:58af	census.gov	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			344.49																												
180	191	2024-04-07 21:53:33	1.0	en	959073787.0	2024-04-07 21:46:38	2024-04-07 21:53:33	2a02:a459:1240:1:118b:282a:8c54:58af	target.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			415.75																												
181	192	2024-04-08 10:00:04	1.0	en	1761911342.0	2024-04-08 09:52:10	2024-04-08 10:00:04	2a02:a459:1240:1:18f4:7572:bc0c:a917	amazon.es	Yes	Yes	Spanish		Yes	Yes	Yes	Yes	Yes	Yes	form element other than most restrictive highlighted		"Si estás de acuerdo, podremos utilizar tu información personal de cualquiera de estos Servicios de Amazon para personalizar los anuncios que te mostramos en otros servicios. Por ejemplo, podremos usar tu historial de reproducciones de Prime Video para personalizar los anuncios que te mostramos en nuestras tiendas o en Fire TV. También podremos utilizar información personal que recibimos de terceros (como información demográfica).

Además, si estás de acuerdo, también utilizaremos cookies para complementar tu experiencia de compra en las tiendas de Amazon, tal y como se describe en nuestro Aviso de cookies. Tu elección se aplica al uso de cookies de publicidad propias y de terceros en este servicio. Las cookies almacenan o acceden a información estándar del dispositivo, como un identificador único. Los 103 terceros que utilizan cookies en este servicio lo hacen con el fin de mostrar y medir anuncios personalizados, generar información sobre la audiencia, y desarrollar y mejorar productos.

Utilizamos cookies y herramientas similares necesarias que te permiten comprar y mejorar tus experiencias de compra, y nos permiten proporcionarte nuestros servicios, como se detalla en nuestro Aviso de cookies. También utilizamos estas cookies para comprender cómo utilizan los clientes nuestros servicios (por ejemplo, midiendo las visitas al sitio web) con el fin de poder realizar mejoras. Haz clic en Rechazar para rechazar o en Personalizar para elegir opciones más detalladas o para obtener más información. Puedes cambiar de opinión en cualquier momento. Para ello, visita Cookies y opciones de publicidad. Para obtener más información sobre cómo y con qué fines utiliza Amazon la información personal (como el historial de pedidos de la tienda o el historial de reproducciones de Prime Video) y las cookies, visita nuestro Aviso de privacidad y nuestro Aviso de cookies."	14.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Advertising cookies are defined (translated from Spanish) as: ""These cookies allow us to offer you other types of advertising (for example, for products and services not available on Amazon), including ads relevant to your interests on Amazon or on third-party sites, and to collaborate with authorized third parties in the publication of content, measure the effectiveness of your ads and provide services on behalf of Amazon."""	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			474.1																												For example, we may use your Prime Video viewing history to personalize the ads we show you in our stores or on Fire TV. We may also use your personal information we receive from third parties (such as demographic information). In addition, if you agree, we will also use cookies to complement your shopping experience in Amazon stores, as described in our Cookie Notice. Your choice applies to the use of our own and third party advertising cookies in this service. Cookies store or access standard device information, such as a unique identifier. For the 103 third parties that use cookies in this service, we also do so in order to show and change personalized cookies, generate information about the audience, and how you can choose and improve products. We use and similar tools that are necessary to enable you to improve your store experience and use your site (such as allowing you to buy, and our services, and for example, with
182	193	2024-04-08 10:00:29	1.0	en	475558337.0	2024-04-08 10:00:25	2024-04-08 10:00:29	2a02:a459:1240:1:18f4:7572:bc0c:a917	iga.net	No																																					4.91																												
183	194	2024-04-08 10:12:25	1.0	en	1303186759.0	2024-04-08 10:01:28	2024-04-08 10:12:25	2a02:a459:1240:1:18f4:7572:bc0c:a917	mec.ca	Yes	Not by default, but there is a consent notice	English		Yes	No	Yes	Yes			no form element highlighted		When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer.	13.008	consent notice	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	No	No	visual effect occurs on-screen				consent can be withdrawn through the website	Although there is a consent notice, its existence is not indicated in the cookie policy; the cookie policy suggests to change the browser settings instead.		657.5																												When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer.
184	195	2024-04-08 10:13:01	1.0	en	1804207613.0	2024-04-08 10:12:53	2024-04-08 10:13:01	2a02:a459:1240:1:18f4:7572:bc0c:a917	michaels.com	No																																					8.75																												
185	196	2024-04-08 10:21:35	1.0	en	1037042578.0	2024-04-08 10:14:59	2024-04-08 10:21:35	2a02:a459:1240:1:18f4:7572:bc0c:a917	ottawacitizen.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings	The website seems to suggest there is a method to opt-out of cookies, but this requires signing in to an account. This does not comply, in my opinion.		396.54																												
186	197	2024-04-08 10:32:14	1.0	en	1029674567.0	2024-04-08 10:28:07	2024-04-08 10:32:14	2a02:a459:1240:1:18f4:7572:bc0c:a917	mississauga.ca	Yes	No	English												privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						there is no method to withdraw consent			246.1																												
187	198	2024-04-08 10:46:23	1.0	en	1782478004.0	2024-04-08 10:41:42	2024-04-08 10:46:23	2a02:a459:1240:1:18f4:7572:bc0c:a917	acesso.gov.pt	Yes	No	Portuguese												nowhere	privacy policy(or cookie policy)	nowhere	nowhere	privacy policy(or cookie policy)	nowhere	no information present						No		No						there is no method to withdraw consent			281.76																												
188	199	2024-04-08 10:55:36	1.0	en	1533733971.0	2024-04-08 10:47:59	2024-04-08 10:55:36	2a02:a459:1240:1:18f4:7572:bc0c:a917	politico.com	Yes	Yes	English		Yes	No	No	No			form element other than most restrictive highlighted		"We and our 816 partners store and/or access information on a device, such as unique IDs in cookies to process personal data. You may accept or manage your choices by clicking below, including your right to object where legitimate interest is used, or at any time in the privacy policy page. These choices will be signaled to our partners and will not affect browsing data.

We and our partners process data to provide:
Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development."	11.382	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Social media cookies are defined as: ""These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests."""	No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		"A conditional term is used in the consent notice, but not in a problematic context: ""You may accept or manage your choices by clicking below, including your right to object where legitimate interest is used, or at any time in the privacy policy page."""	457.4																												"We and our 816 partners store and/or access information on a device, such as unique IDs in cookies to process personal data. You may accept or manage your choices by clicking below, including your right to object where legitimate interest is used, or at any time in the privacy policy page. These choices will be signaled to our partners and will not affect browsing data.

We and our partners process data to provide:
Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development."
